number_of_instances,number_of_features,noise_to_signal_ratio,mean_kurtosis_of_numeric_attributes,mean_means_of_numeric_attributes,mean_std_dev_of_numeric_attributes,mean_mutual_information,max_nominal_att_distinct_values,mean_std_dev_nominal_att_distinct_values,mean_nominal_att_distinct_values,mean_skewness_of_numeric_attributes,prediction
4446.0,6.0,4.533599848137664,10.009574361496425,312333.79719598143,67037.67664180278,0.050730180589651216,4403.0,3262.093213678059,1470.3333333333333,1.170341873530269,-0.264408953548458
4446.0,15.0,4.593426231513096,77.43356136929086,78907.73914905365,17214.772758925345,0.04828411669553328,8.0,1.15763785424268,4.666666666666667,2.5091547164573376,0.15307549194650177
4446.0,21.0,4.646042214042878,17.35234104011153,71838.31692047266,15462.250692082152,0.017744758465646826,4437.0,0.041881229249814377,3821.75,1.9116213342614952,-0.17411126499744195
4446.0,4.0,4.646039964460567,2.309718097357492,233474.3361448493,50252.33057201157,0.010040676147892095,0.0,0.0,0.0,0.9751372523972792,-0.8935544566618174
4446.0,6.0,4.646050707679999,4.172893653093716,233474.33640392308,50252.194444169945,0.018667478764295885,4437.0,0.12604353779268898,4437.0,1.1082668264410303,-0.6941717069574066
4446.0,17.0,4.646042397662659,18.496817685218993,77824.8433140882,16750.771572516853,0.017872501386956757,4437.0,0.06492921347264616,3610.0,1.9009851347771136,-0.18751263658430992
4446.0,21.0,4.645590289702416,71.81671568056062,71838.25727533826,15463.136791941815,0.050222822920782784,4403.0,1.00011247961343,615.625,1.8905086685652122,0.14518601228995473
4446.0,4.0,4.645944272329277,0.11536431447576401,233474.3361448493,50253.36561512291,0.030609965901131925,0.0,0.0,0.0,0.34471633924925077,-0.5816336173849661
4446.0,6.0,4.6459369907754615,176.8078246402355,186779.46891587944,40202.55547908133,0.03460471232115534,3.0,1.0001124796134302,3.0,4.473486631547597,-0.3110541152555648
4446.0,7.0,4.645913875760639,10.58945292601898,155649.55742989955,33502.29625131438,0.0571041028382396,3.0,1.0001124796134613,3.0,1.1899595940098247,0.0873871457241125
7998.0,21.0,1.7442693234727042,21.935856497494942,83406.72492108682,47927.42929549796,0.17889144769661652,7896.0,1223.9204872808461,1063.25,1.1886212425490263,0.6153751218547889
7998.0,6.0,1.7350353732005184,1.6780825625721538,357829.9236475786,206235.94949678562,0.20058528055965405,312.0,37.618713431658136,117.66666666666667,0.18724671835304751,0.47527585477659473
7998.0,18.0,1.743478320122905,23.60796704498564,90357.0297985442,51921.30141336952,0.18981639770817893,312.0,37.42598244385597,100.83333333333333,1.3133747593098777,0.6235062439716635
7998.0,21.0,1.7319727930194153,9.896533710885496,82424.72964406107,47590.10094392264,0.05777780969440569,7985.0,0.04001998063248606,6954.5,1.7386605411025657,0.36603227984810716
7998.0,4.0,1.7319707500191543,2.209997662958278,267880.1790447612,154667.8424227422,0.032635958100620144,0.0,0.0,0.0,1.2185072063490172,-0.806497564624868
7998.0,6.0,1.731972845194917,6.237724975345936,267880.27964814665,154667.77139945579,0.043885086209094835,7985.0,0.11488700108196584,7787.0,1.1855642738436323,-0.20454218914315742
7998.0,18.0,1.7319728033654918,10.366667095873467,89293.45709835111,51555.94267893725,0.059181605170206465,7985.0,0.051585309167700384,6770.833333333333,1.6941132342334007,0.3678076048793667
7998.0,21.0,1.7319162054810844,21.93585649749499,82424.67047531113,47590.988728691285,0.17941743219184428,7896.0,1.000062521491808,1063.25,1.1886212425495337,0.6133010943677825
7998.0,4.0,1.731959278469466,1.912429393497567,267880.1790447612,154668.86685782077,0.18314564316531742,0.0,0.0,0.0,0.5640146758879563,0.21994409199159035
7998.0,6.0,1.7319581989857353,2.2658716487740396,267880.1790447612,154668.46322757335,0.16371737627471888,8.0,1.0000625214918024,6.5,0.6272647318841276,0.10884655420115019
7998.0,15.0,1.7319330026385782,25.743935074116827,97410.97419809498,56243.71394072216,0.19853705365470434,312.0,1.0000625214918062,89.0,1.5000753988913123,0.6295494885001244
34857.0,21.0,1.1633449077981566,3107.8578694534394,64078.56439265807,55591.572215846405,0.13638921320658187,34009.0,1254.9052899448957,4350.75,12.71030627950594,-0.303184924249374
34857.0,6.0,1.1521806257193343,1.8728304625044885,164378.2229839646,143017.02412818494,0.06999650086425335,3.0,0.636291936778787,3.0,0.22382033240672997,-0.5765492428851837
34857.0,18.0,1.1555362785902987,3107.8578694534394,64078.564392658074,55591.57221584642,0.1417800404037651,351.0,22.784250037765283,80.0,14.849030433197981,-0.29463973764849793
